2026-04-29T18:30:47.372203	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "12b83ca6-caf3-47fd-be32-336f7f1ff7fb", "url": "/api/v1/statistics?to=2026-03-29", "http_method": "GET", "time": "2026-04-29T18:30:47.372200"}
2026-04-29T18:30:47.373828	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "12b83ca6-caf3-47fd-be32-336f7f1ff7fb", "url": "/api/v1/statistics?to=2026-03-29", "status_code": 200, "latency": "1.62513ms"}
2026-04-29T18:30:54.759041	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "19898762-b95b-407b-80a2-1fd2af6af09d", "url": "/api/v1/statistics?to=2026-03-30", "http_method": "GET", "time": "2026-04-29T18:30:54.759038"}
2026-04-29T18:30:54.760772	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "19898762-b95b-407b-80a2-1fd2af6af09d", "url": "/api/v1/statistics?to=2026-03-30", "status_code": 200, "latency": "1.731247ms"}
2026-04-29T18:31:09.815554	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "b1b57002-0e27-438c-8165-7d2a64e8d7d8", "url": "/api/v1/tasks/9", "http_method": "PATCH", "time": "2026-04-29T18:31:09.815549"}
2026-04-29T18:31:09.819652	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "b1b57002-0e27-438c-8165-7d2a64e8d7d8", "url": "/api/v1/tasks/9", "status_code": 200, "latency": "4.09973ms"}
2026-04-29T18:31:13.880443	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "c22a7516-f946-4688-b513-649c3fd1cdf2", "url": "/api/v1/statistics?to=2026-03-30", "http_method": "GET", "time": "2026-04-29T18:31:13.880439"}
2026-04-29T18:31:13.882117	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "c22a7516-f946-4688-b513-649c3fd1cdf2", "url": "/api/v1/statistics?to=2026-03-30", "status_code": 200, "latency": "1.674302ms"}
2026-04-29T18:31:34.568086	WARN	server/server.go:63	shutdown HTTP server...
2026-04-29T18:31:34.568715	WARN	server/server.go:77	HTTP server stopped
